Packet injection rate,Total received packets,Total received flits,Received/Ideal flits ratio,Average wireless utilization,Global average delay (cycles),Max delay (cycles),Network throughput (flits/cycle),Average IP throughput (flits/cycle/IP),Total energy (J),Dynamic energy (J),Static energy (J)
0.053,66798,534397,0.207298,0,33900.5,98820,5.62523,0.0878942,8.98502e-05,1.08401e-05,7.901e-05
0.054,66827,534645,0.203553,0,34035.2,99374,5.62784,0.087935,8.98695e-05,1.08595e-05,7.901e-05
0.055,67089,536672,0.20061,0,34634,98805,5.64918,0.0882684,8.99046e-05,1.08945e-05,7.901e-05
0.056,67098,536783,0.197068,0,35001.3,98144,5.65035,0.0882867,8.99251e-05,1.09151e-05,7.901e-05
0.057,67325,538587,0.194262,0,34889,98985,5.66934,0.0885834,8.99203e-05,1.09103e-05,7.901e-05
0.058,67243,537936,0.190682,0,35473.5,97727,5.66248,0.0884763,8.99359e-05,1.09258e-05,7.901e-05
0.059,67095,536745,0.187035,0,36053.3,98839,5.64995,0.0882804,8.99076e-05,1.08976e-05,7.901e-05
0.06,67701,541609,0.185584,0,36005.1,98342,5.70115,0.0890804,8.99827e-05,1.09726e-05,7.901e-05
0.061,66213,529700,0.178528,0,36136.4,98725,5.57579,0.0871217,8.97296e-05,1.07196e-05,7.901e-05
0.062,67348,538785,0.178661,0,36182.8,98218,5.67142,0.088616,8.99674e-05,1.09574e-05,7.901e-05
0.063,66847,534769,0.174515,0,36653.1,98409,5.62915,0.0879554,8.98604e-05,1.08504e-05,7.901e-05
0.064,66489,531932,0.170877,0,36779.3,98969,5.59928,0.0874888,8.97507e-05,1.07406e-05,7.901e-05
0.065,66748,534000,0.168902,0,37312.6,98867,5.62105,0.0878289,8.98446e-05,1.08345e-05,7.901e-05
0.066,67048,536393,0.167088,0,37235.3,96599,5.64624,0.0882225,8.98963e-05,1.08862e-05,7.901e-05
0.067,67321,538600,0.165272,0,37622.9,97387,5.66947,0.0885855,8.99069e-05,1.08968e-05,7.901e-05
0.068,67200,537571,0.16253,0,37725.9,98303,5.65864,0.0884163,8.98894e-05,1.08794e-05,7.901e-05
0.069,66247,529980,0.157913,0,37870.3,99287,5.57874,0.0871678,8.97411e-05,1.07311e-05,7.901e-05
0.07,67436,539491,0.15845,0,38404.3,99047,5.67885,0.0887321,8.99713e-05,1.09613e-05,7.901e-05
0.071,66779,534265,0.154705,0,38279.9,98732,5.62384,0.0878725,8.9886e-05,1.0876e-05,7.901e-05
0.072,67196,537568,0.1535,0,38980.1,98577,5.65861,0.0884158,8.99108e-05,1.09007e-05,7.901e-05
0.073,67056,536470,0.151088,0,38993.5,97482,5.64705,0.0882352,8.98858e-05,1.08758e-05,7.901e-05
